
2 theta/deg	Intensity
   34.92988       615.0000    
   34.96331       647.0000    
   34.99673       621.0000    
   35.03015       606.0000    
   35.06357       648.0000    
   35.09700       671.0000    
   35.13042       652.0000    
   35.16384       686.0000    
   35.19726       665.0000    
   35.23069       635.0000    
   35.26411       640.0000    
   35.29753       611.0000    
   35.33095       655.0000    
   35.36438       663.0000    
   35.39780       645.0000    
   35.43122       660.0000    
   35.46464       718.0000    
   35.49807       704.0000    
   35.53149       706.0000    
   35.56491       695.0000    
   35.59833       744.0000    
   35.63176       755.0000    
   35.66518       794.0000    
   35.69860       755.0000    
   35.73202       775.0000    
   35.76545       781.0000    
   35.79887       784.0000    
   35.83229       878.0000    
   35.86571       865.0000    
   35.89914       950.0000    
   35.93256       909.0000    
   35.96598       931.0000    
   35.99940       947.0000    
   36.03283       1028.000    
   36.06625       1023.000    
   36.09967       1040.000    
   36.13309       1083.000    
   36.16652       1111.000    
   36.19994       1172.000    
   36.23336       1313.000    
   36.26678       1360.000    
   36.30021       1427.000    
   36.33363       1527.000    
   36.36705       1670.000    
   36.40047       1866.000    
   36.43390       1902.000    
   36.46732       2063.000    
   36.50074       2394.000    
   36.53416       2508.000    
   36.56758       2778.000    
   36.60101       2957.000    
   36.63443       3347.000    
   36.66785       3706.000    
   36.70127       3985.000    
   36.73470       4327.000    
   36.76812       4560.000    
   36.80154       5000.000    
   36.83496       5361.000    
   36.86839       5584.000    
   36.90181       5649.000    
   36.93523       5953.000    
   36.96866       6132.000    
   37.00208       6080.000    
   37.03550       6235.000    
   37.06892       6056.000    
   37.10235       5984.000    
   37.13577       5701.000    
   37.16919       5549.000    
   37.20261       5332.000    
   37.23604       4913.000    
   37.26946       4669.000    
   37.30288       4359.000    
   37.33630       3908.000    
   37.36973       3441.000    
   37.40315       3323.000    
   37.43657       3018.000    
   37.47000       2624.000    
   37.50342       2456.000    
   37.53684       2281.000    
   37.57026       2112.000    
   37.60369       1977.000    
   37.63711       1765.000    
   37.67053       1656.000    
   37.70395       1512.000    
   37.73738       1472.000    
   37.77080       1326.000    
   37.80422       1273.000    
   37.83764       1186.000    
   37.87107       1138.000    
   37.90449       1117.000    
   37.93791       1136.000    
   37.97133       1059.000    
   38.00476       994.0000    
   38.03818       952.0000    
   38.07160       959.0000    
   38.10502       902.0000    
   38.13845       906.0000    
   38.17187       811.0000    
   38.20529       887.0000    
   38.23871       805.0000    
   38.27214       822.0000    
   38.30556       830.0000    
   38.33898       806.0000    
   38.37241       752.0000    
   38.40583       795.0000    
   38.43925       761.0000    
   38.47267       752.0000    
   38.50610       793.0000    
   38.53952       756.0000    
   38.57294       706.0000    
   38.60636       747.0000    
   38.63979       685.0000    
   38.67321       755.0000    
   38.70663       724.0000    
   38.74005       736.0000    
   38.77348       714.0000    
   38.80690       727.0000    
   38.84032       660.0000    
   38.87374       677.0000    
   38.90717       661.0000    
